contact_id,name,title,email,account_id
C0001,Courtney Mills,CTO,levans@yahoo.com,A0090
C0002,Marc Lynch,CTO,colleenbaker@moore.net,A0086
C0003,Aaron Hayes,VP Clinical Systems,antonio44@hotmail.com,A0172
C0004,Andrea Hall,CIO,ronaldstephens@hotmail.com,A0042
C0005,Derek Thomas,VP Clinical Systems,lauralarson@morse.com,A0106
C0006,Terri Mason,CTO,cmiller@yahoo.com,A0074
C0007,Lindsey Johnson,CTO,keyemily@johnston-hines.com,A0195
C0008,Matthew Moon,CIO,fwalters@harrison.com,A0117
C0009,Brian Martin,CIO,zroberts@hotmail.com,A0081
C0010,Brandon King,VP Clinical Systems,ahancock@booth.net,A0083
C0011,Peter Garrett,CIO,josephanderson@kim-wolfe.com,A0198
C0012,Mark Lloyd,CTO,andrea86@walker.info,A0132
C0013,Maria Moore,CIO,robert77@gmail.com,A0169
C0014,Charles Lee,CTO,hillkristy@morgan-french.com,A0106
C0015,Diane Evans,CIO,seanwashington@yahoo.com,A0049
C0016,Kimberly Gibson,VP Clinical Systems,tinaallen@yahoo.com,A0160
C0017,Reginald Williams,CTO,qhughes@hotmail.com,A0161
C0018,Mrs. Amanda Shaw,CTO,sawyerscott@hotmail.com,A0195
C0019,Alexis Thomas,CIO,harrisontanya@hanson-sanders.com,A0053
C0020,Sarah Villarreal,VP Clinical Systems,courtney78@gmail.com,A0141
C0021,Cynthia Cohen,Director of IT,juliehamilton@gmail.com,A0074
C0022,Michele Garcia,CTO,rebecca05@carter.biz,A0179
C0023,Joseph Knight,CTO,gregorylynch@harvey-allen.org,A0032
C0024,Joel King,CIO,nolansteven@yahoo.com,A0162
C0025,Brooke Alexander,Director of IT,danielle64@yahoo.com,A0182
C0026,Christina Cruz,Director of IT,youngashley@hotmail.com,A0080
C0027,Michael Johnson,CIO,alan09@hotmail.com,A0142
C0028,Tanner Mitchell DDS,CTO,danaoliver@hotmail.com,A0024
C0029,Patricia Becker,Director of IT,bergerdebbie@kramer-johnson.com,A0030
C0030,Ann Phillips,CTO,jamesbuchanan@yahoo.com,A0031
C0031,Susan Rivas,Director of IT,scoffey@hotmail.com,A0128
C0032,Regina Mcdonald,VP Clinical Systems,karenperez@ramsey.net,A0131
C0033,Richard Smith,VP Clinical Systems,vrichardson@baker.com,A0107
C0034,David Johnson,CTO,deborahreid@yahoo.com,A0121
C0035,Elizabeth Ortiz,Director of IT,shahkevin@wilson-young.net,A0117
C0036,Jesse Santiago,Director of IT,nicolepena@yahoo.com,A0099
C0037,Teresa Ramirez,Director of IT,scottsampson@yahoo.com,A0154
C0038,Michael Stephens,Director of IT,sandersjames@gmail.com,A0018
C0039,Samantha Davis,VP Clinical Systems,williamsmatthew@buchanan.com,A0198
C0040,Kristen Willis,CTO,kim90@garrison-thomas.com,A0088
C0041,Rebecca Rodriguez,VP Clinical Systems,alexistyler@chapman.com,A0001
C0042,Cameron Fisher,VP Clinical Systems,alvarezkimberly@wheeler.org,A0186
C0043,Richard Camacho,VP Clinical Systems,bschneider@gmail.com,A0151
C0044,Dr. Jessica Rodriguez DDS,CTO,lammarc@gmail.com,A0039
C0045,Donald Schultz,CTO,hvang@yahoo.com,A0138
C0046,Larry Garcia,CTO,russellbeasley@morgan-chavez.biz,A0089
C0047,Emily Edwards,VP Clinical Systems,stephanie71@gmail.com,A0142
C0048,Anna Davis,CTO,angelawillis@hotmail.com,A0117
C0049,Meagan Jenkins,VP Clinical Systems,schmittcaroline@yahoo.com,A0049
C0050,Jordan Moore,Director of IT,melaniebell@hotmail.com,A0147
C0051,Phillip Andrews,CTO,lynchdiane@hotmail.com,A0060
C0052,Christopher Park,CTO,michael22@hotmail.com,A0012
C0053,Andrea Figueroa,VP Clinical Systems,reesejason@chavez-moore.com,A0191
C0054,Paula Bradley,CTO,moorekaren@craig.info,A0181
C0055,Karla Ramos,CTO,kariwilson@yahoo.com,A0099
C0056,Michael Watkins,Director of IT,walkertracey@gmail.com,A0127
C0057,Eric Clark,CIO,keith10@burgess-thompson.biz,A0033
C0058,Crystal Hansen,VP Clinical Systems,sandersjudy@yahoo.com,A0026
C0059,Thomas Atkins,CTO,amckinney@yahoo.com,A0026
C0060,Alex Nguyen,CTO,christopher13@yahoo.com,A0004
C0061,Kelly Foster,Director of IT,jeffrey21@hotmail.com,A0105
C0062,Kerry Lee,Director of IT,jessica23@gmail.com,A0020
C0063,Craig Morrison,CTO,stephanieburton@webster-wolf.info,A0068
C0064,Sonia Day,VP Clinical Systems,edward17@yahoo.com,A0160
C0065,Rebecca Vargas,CTO,collinsshannon@gmail.com,A0167
C0066,Dustin Newman,CIO,jford@huang.com,A0085
C0067,John Hernandez,CTO,vgarcia@miller.info,A0082
C0068,Kelly Bishop MD,CTO,vortiz@hotmail.com,A0139
C0069,Rachel Holland,CIO,cody64@cummings-douglas.org,A0159
C0070,Felicia Aguilar,CIO,kyle62@fletcher.com,A0061
C0071,Meagan Calderon,VP Clinical Systems,bromero@parker-bean.com,A0059
C0072,Katelyn Perez,CIO,chrisrichard@romero.net,A0112
C0073,George Miranda,CIO,lmoore@wise.info,A0195
C0074,Jackson Ball,CIO,karen73@hotmail.com,A0114
C0075,Vincent Mueller,Director of IT,erika97@hammond-strickland.net,A0178
C0076,Tracy Montoya,VP Clinical Systems,brett75@villa.com,A0008
C0077,Phillip Nelson,CIO,odavis@wilkerson-arias.biz,A0084
C0078,Jonathan Young,CIO,jeffrey51@santos.com,A0076
C0079,Kaitlyn Guerra,VP Clinical Systems,fgilbert@gmail.com,A0096
C0080,Ruben Dunn,CTO,parsonsjohn@gmail.com,A0038
C0081,Jason Bauer,Director of IT,rodriguezrebecca@hotmail.com,A0136
C0082,Lynn Andrews,CTO,ruben95@duncan.com,A0145
C0083,Heather Ashley,Director of IT,cmarks@hughes.com,A0044
C0084,Haley Quinn,Director of IT,dennis58@li-thompson.info,A0021
C0085,Mrs. Catherine Taylor,CTO,carterbradley@gmail.com,A0159
C0086,Emily Collins,Director of IT,wking@hotmail.com,A0128
C0087,Howard Norman,Director of IT,david56@yahoo.com,A0060
C0088,Stephanie Hughes,CTO,xholt@adams.biz,A0164
C0089,Samantha Gardner,VP Clinical Systems,millerdonna@yahoo.com,A0118
C0090,Mitchell Jackson,VP Clinical Systems,sergio59@yahoo.com,A0171
C0091,William Gould,CIO,zcox@shelton.org,A0120
C0092,Jessica Martinez,VP Clinical Systems,michael90@hernandez.info,A0174
